"S1","S2"
84,85
72,87
90,75
81,86
78,82
72,81
72,75
76,62
80,87
75,82
88,73
84,87
70,88
74,86
65,76
94,68
85,78
84,80
90,74
95,69
78,71
70,77
70,78
65,94
84,78
63,78
65,88
87,75
99,73
86,85
94,74
78,83
71,76
94,74
86,86
106,75
87,75
84,81
83,79
83,80
84,73
75,98
99,69
70,81
76,66
78,92
74,93
76,76
82,66
80,81
84,84
90,74
79,86
61,63
87,67
72,79
94,66
69,72
79,73
81,72
81,81
72,83
78,79
65,92
73,71
88,81
93,98
79,70
87,95
86,62
70,67
95,81
73,80
89,75
89,79
76,83
79,89
85,80
78,83
83,82
75,79
69,79
73,76
106,85
98,78
63,88
78,83
77,69
85,79
82,85
84,87
84,92
86,72
89,79
86,68
85,83
73,76
71,91
73,82
75,80
88,71
81,85
75,73
90,73
70,85
96,69
72,89
79,76
68,98
73,77
87,74
83,90
78,87
81,64
98,76
77,81
99,79
73,86
85,75
81,75
84,74
87,76
81,84
85,92
76,89
74,82
77,86
81,82
106,75
63,75
85,80
73,85
67,97
79,67
91,90
66,82
75,80
75,85
67,66
84,63
77,94
87,82
91,80
83,82
94,58
86,80
80,78
86,73
78,86
71,84
98,76
74,87
84,99
80,89
74,81
90,85
78,82
74,87
87,81
84,100
68,71
79,87
90,78
88,80
74,78
70,84
82,83
69,94
66,67
71,89
74,79
78,82
80,80
86,69
89,82
82,86
82,90
81,61
76,87
94,69
78,75
86,74
71,87
91,71
77,59
96,86
70,84
99,90
95,93
91,90
66,83
72,89
90,79
82,67
69,79
78,74
92,72
89,81
73,80
83,85
92,91
79,77
94,61
98,72
78,73
75,70
82,86
94,76
70,70
86,79
67,91
89,87
74,84
86,82
64,83
92,83
74,91
88,91
89,80
72,88
72,88
86,85
91,74
85,83
85,85
76,76
100,77
88,89
62,86
86,60
95,66
67,75
92,80
80,89
66,86
64,87
78,81
75,82
65,91
59,95
68,82
74,88
100,98
77,74
73,72
80,86
74,82
73,73
75,79
68,70
95,94
77,81
95,93
88,89
94,76
86,84
89,86
90,80
79,79
97,97
80,105
79,80
81,81
74,84
85,91
74,88
73,77
98,79
77,83
81,103
87,83
86,78
82,86
82,75
91,84
76,81
89,94
78,81
89,64
74,76
76,69
82,78
75,65
74,93
69,91
83,86
78,84
87,82
69,69
87,95
73,84
69,97
68,72
82,79
74,78
79,75
86,96
71,99
80,95
79,79
73,72
82,86
73,73
86,89
60,66
79,73
82,93
86,72
78,68
89,74
84,85
82,94
76,77
83,73
79,77
81,77
72,83
79,70
60,73
89,72
84,94
103,75
82,85
81,67
70,75
82,78
84,75
76,69
99,74
84,87
68,76
97,94
88,72
75,71
82,74
77,69
61,80
85,62
69,78
97,78
69,75
73,92
75,81
89,83
83,82
83,82
76,89
78,87
75,79
83,77
83,92
93,80
88,67
74,74
76,87
69,77
88,62
76,78
65,62
84,91
87,79
83,74
93,94
75,79
91,81
83,90
85,79
85,78
79,78
69,90
68,64
76,82
85,80
76,101
82,89
71,75
82,68
95,86
95,78
83,68
85,106
85,73
79,84
76,80
74,70
75,75
79,83
77,89
79,78
78,85
98,74
82,63
88,68
83,88
82,75
73,78
83,92
69,83
69,89
77,81
86,88
96,75
75,81
84,84
82,82
94,87
80,70
63,79
73,91
62,72
83,78
82,90
82,70
81,71
80,69
71,68
86,83
81,67
77,81
82,81
85,72
75,80
81,63
83,96
84,92
79,77
83,80
63,88
80,67
87,84
66,69
74,93
84,77
99,78
74,84
66,69
75,85
