"S1","S3","DP"
77,73,80
92,89,82
77,83,90
92,93,83
74,73,86
81,85,94
73,65,87
88,74,85
70,76,73
66,87,84
101,81,87
92,106,68
68,85,72
69,70,105
83,75,90
95,91,82
81,88,81
78,86,82
86,78,91
70,106,85
89,77,76
86,89,74
82,88,87
65,85,82
96,92,84
81,87,71
79,65,101
84,84,89
80,80,86
80,78,71
81,79,98
67,94,77
85,62,78
87,81,92
72,85,80
75,81,104
90,77,82
72,74,82
80,72,57
65,79,87
82,85,87
88,75,68
79,69,88
80,70,79
74,67,50
75,93,85
67,78,83
96,89,97
86,78,75
83,75,79
91,66,85
77,80,69
73,96,73
67,81,80
106,73,75
74,71,91
79,72,86
79,79,91
89,87,87
74,70,65
76,72,87
88,91,95
77,96,66
82,79,78
92,79,80
90,71,93
85,85,85
83,82,89
92,82,69
68,88,89
85,81,69
89,82,75
76,85,88
87,99,83
80,81,95
77,74,83
90,80,90
91,83,107
86,83,70
94,64,80
78,72,76
92,79,81
80,76,84
70,73,92
82,81,85
84,92,92
72,79,88
84,68,77
74,74,65
79,69,68
95,70,67
100,98,90
73,80,65
58,78,91
87,73,97
64,88,84
83,72,85
76,88,91
91,78,81
75,75,86
76,63,71
67,75,84
86,75,83
72,95,87
90,76,75
65,79,76
82,59,63
72,77,79
83,81,87
90,63,71
74,82,83
81,84,75
77,89,81
75,83,87
83,84,93
86,84,76
93,72,83
83,71,78
78,70,81
71,83,72
72,70,76
74,87,79
86,83,76
73,76,80
71,80,75
87,88,103
77,90,71
60,101,77
89,71,69
71,91,88
75,75,73
81,114,87
75,81,86
86,82,78
71,84,82
82,82,79
103,85,73
63,82,98
78,80,79
87,78,94
78,75,86
96,81,77
73,87,83
86,88,72
84,91,88
85,68,85
71,75,75
89,88,83
75,75,93
77,88,91
83,82,80
76,72,66
70,91,73
86,81,78
82,93,71
66,82,71
71,69,96
90,74,89
70,94,84
77,70,91
88,62,80
89,81,81
92,63,84
57,74,69
83,69,87
83,79,70
79,73,78
81,80,84
59,62,77
84,82,82
87,75,86
74,84,86
70,76,61
92,73,83
64,86,70
91,96,78
76,80,73
81,94,83
77,82,78
87,81,85
50,91,68
74,81,74
84,76,65
75,67,73
76,74,75
94,73,93
88,76,75
72,80,78
80,75,76
85,76,85
91,80,80
74,64,72
75,90,88
93,83,76
82,79,76
76,93,73
76,57,72
81,91,88
98,84,82
82,87,77
87,76,79
78,91,89
84,90,88
78,82,73
83,80,80
84,73,90
92,87,77
77,75,91
88,71,83
91,94,93
81,85,76
86,75,79
85,73,73
94,80,86
79,70,89
66,72,89
109,67,98
61,71,80
80,100,94
73,79,90
65,73,80
88,73,86
82,75,77
79,86,84
69,61,82
79,85,78
82,79,90
70,79,59
72,77,72
81,79,75
63,100,70
73,83,81
94,95,96
77,84,83
91,84,102
92,91,72
70,90,98
78,85,79
91,82,90
74,78,87
79,57,84
86,91,75
76,76,65
91,86,65
84,81,65
77,79,70
84,66,85
90,82,70
91,89,72
83,78,69
87,75,86
89,74,80
81,70,67
79,73,79
69,90,68
63,88,77
82,89,85
86,77,98
76,78,72
83,80,86
99,76,59
83,83,85
86,63,79
68,70,87
74,86,85
83,89,72
97,81,69
75,79,90
68,75,86
69,71,78
80,84,80
87,93,63
93,81,68
61,95,76
73,93,86
81,86,73
84,71,91
103,70,76
86,86,65
79,81,72
86,87,77
72,76,75
78,83,81
62,81,88
79,86,76
91,94,71
91,73,92
80,84,68
82,79,78
80,76,87
85,82,86
81,93,92
83,85,81
98,78,89
86,89,66
74,89,72
84,81,83
79,76,81
89,81,72
91,83,77
86,75,85
91,84,74
77,96,83
84,73,77
71,96,95
67,98,83
94,84,94
85,79,70
69,65,66
76,69,88
84,86,83
84,67,94
78,87,67
85,82,77
78,84,86
89,71,93
78,91,66
71,86,86
78,73,91
79,83,91
83,78,98
