"S1","S2"
75,100
81,95
61,84
83,83
82,78
84,78
82,78
77,86
73,81
82,71
78,74
75,72
86,75
81,59
84,83
75,67
67,89
86,70
82,72
61,89
69,73
81,82
90,93
69,81
73,66
72,76
78,87
65,59
74,71
70,78
62,81
97,83
75,88
68,93
67,85
86,65
89,84
88,81
87,85
87,78
70,80
71,83
88,81
77,78
86,85
63,81
90,84
90,79
83,81
81,88
95,86
85,79
80,73
79,81
70,101
70,72
82,87
76,90
96,81
82,67
81,84
77,74
73,78
74,77
70,82
87,82
87,96
90,71
75,64
75,84
61,80
92,69
71,70
73,86
86,77
83,80
97,59
93,84
75,87
101,87
72,90
79,82
77,83
100,74
69,86
76,62
83,83
83,90
85,75
74,82
88,97
67,74
74,70
76,79
68,86
70,72
97,76
82,89
69,85
70,69
85,79
100,63
84,92
87,81
84,81
74,75
83,78
76,92
73,85
81,90
83,81
76,68
89,67
102,91
69,76
71,80
68,81
86,91
85,73
79,91
92,66
90,76
65,87
70,78
69,81
93,73
83,85
79,71
73,78
84,75
77,85
83,75
95,77
80,70
79,80
76,86
84,65
86,83
63,57
67,82
81,79
83,78
79,76
76,85
80,76
80,73
84,98
69,76
92,86
66,74
69,80
71,82
64,84
85,64
87,88
72,89
85,75
66,84
83,79
86,72
81,90
72,80
95,76
85,65
67,76
73,81
93,64
87,73
94,92
69,80
60,72
90,93
68,71
90,81
83,86
82,77
75,67
80,82
87,76
87,74
87,81
80,76
74,79
88,68
78,73
65,93
68,88
89,88
89,89
68,73
82,78
74,95
88,84
74,84
82,79
84,84
85,77
99,88
68,69
92,74
78,81
85,90
79,92
63,77
84,75
78,85
59,70
66,92
75,78
71,90
104,79
92,71
74,77
81,88
78,88
79,64
87,87
71,84
85,72
91,78
85,89
85,72
77,77
78,72
78,70
98,86
85,72
84,78
83,66
88,70
85,69
80,73
81,99
71,99
84,73
88,73
86,89
81,75
78,72
83,81
89,89
90,69
72,59
71,80
105,77
81,79
75,91
94,71
95,89
71,98
79,76
89,81
77,79
67,85
69,95
69,51
79,80
86,80
77,99
81,73
75,89
69,73
84,87
82,71
82,60
89,82
76,69
67,76
91,70
77,93
70,89
86,76
88,93
76,68
90,69
81,74
85,84
91,83
76,83
76,88
88,82
78,81
77,74
78,86
68,88
80,71
91,93
76,72
67,76
81,76
79,83
75,64
76,74
71,91
87,98
91,83
88,86
81,88
88,90
74,86
65,70
95,82
81,74
75,82
84,69
91,69
77,83
94,77
84,78
82,88
81,63
61,85
80,72
80,69
70,84
79,92
84,73
94,95
68,72
83,80
85,99
87,82
72,79
85,96
84,71
73,95
92,78
83,85
79,83
84,88
63,82
87,90
84,89
71,83
87,78
73,82
82,85
68,82
83,84
86,78
83,81
88,78
88,90
77,69
88,81
76,85
90,86
99,89
79,85
87,58
90,90
64,79
65,82
83,87
91,92
71,73
80,72
81,81
82,84
86,90
77,83
79,65
84,73
71,87
71,73
92,73
72,97
82,80
96,81
78,100
88,72
95,77
84,92
72,91
86,78
88,69
75,90
78,82
84,74
80,68
73,62
83,79
72,89
78,77
77,94
82,69
76,84
73,92
64,85
83,93
62,77
75,77
86,71
100,77
80,84
64,71
85,86
84,78
81,77
82,92
71,81
67,88
85,78
73,87
68,71
97,85
82,97
67,72
80,81
79,95
76,79
87,82
87,80
84,83
82,84
70,76
75,62
77,77
79,75
70,86
75,78
81,81
67,75
76,68
77,89
95,72
80,80
73,73
86,85
85,74
71,66
82,72
69,78
74,80
87,67
91,65
81,90
69,68
86,74
86,87
82,77
87,80
90,89
85,76
69,88
64,79
73,87
73,87
76,88
84,84
68,84
71,88
79,82
84,83
84,79
72,73
85,59
78,89
90,92
78,85
78,80
95,74
83,73
71,79
73,84
79,79
83,99
86,87
82,78
73,89
75,86
77,81
75,72
67,68
76,69
82,84
78,77
74,96
81,82
86,73
78,69
95,77
90,70
69,96
87,64
87,72
74,61
88,78
68,75
71,76
81,76
77,81
72,72
68,83
83,74
84,94
62,83
72,84
80,76
79,70
86,72
94,66
95,90
106,79
80,75
70,72
93,83
80,75
82,83
93,66
86,88
97,68
59,80
75,72
96,80
79,71
89,73
80,98
74,68
72,77
77,94
84,66
89,100
86,70
74,72
95,79
76,85
95,87
83,70
78,86
87,91
90,69
83,71
73,74
71,76
73,78
67,81
85,68
73,86
74,92
89,86
85,70
67,73
95,105
99,93
83,73
84,73
81,79
89,66
85,87
90,85
89,71
72,73
78,70
82,70
79,86
78,86
86,87
82,78
96,92
76,82
86,81
83,68
84,82
89,90
68,100
66,71
69,84
107,86
71,81
93,93
80,75
78,89
73,93
74,69
83,84
73,68
81,91
86,89
74,72
82,63
84,78
82,72
65,88
91,66
68,72
82,84
78,76
66,70
88,87
74,84
80,60
79,94
91,89
75,79
80,87
67,72
74,63
67,94
74,93
79,79
67,83
79,89
68,86
79,88
74,84
80,79
75,93
97,57
80,80
85,77
69,79
79,94
77,75
88,94
75,80
59,62
83,75
88,85
86,87
111,77
74,81
84,78
96,84
55,94
79,79
80,78
83,79
86,95
79,78
79,105
93,86
63,78
82,75
85,88
74,80
88,64
78,87
107,74
85,76
85,67
75,64
77,75
80,73
71,86
80,84
90,76
76,67
95,78
74,89
93,79
72,79
83,71
69,89
91,79
95,89
82,80
81,80
80,87
77,79
65,87
86,63
78,78
70,79
87,71
74,84
91,97
86,74
74,88
82,85
82,74
84,80
60,79
99,89
86,84
64,80
63,80
87,75
76,73
76,75
72,93
