"S1","S2"
77,82
89,78
104,85
94,73
89,88
82,84
82,84
72,94
70,75
86,76
77,93
73,87
92,63
85,87
85,90
84,86
79,86
86,96
80,86
81,80
77,75
74,77
78,85
83,72
72,81
83,96
76,81
71,85
86,76
80,90
93,95
75,80
86,82
86,77
62,83
64,80
95,80
77,65
77,79
56,73
67,74
90,93
71,88
83,68
79,85
74,83
62,78
72,91
84,80
74,83
79,78
81,80
81,66
81,74
78,80
89,83
85,84
90,107
81,84
78,76
77,89
90,93
83,77
70,89
67,92
78,90
96,75
64,93
82,69
88,77
78,82
88,78
80,72
78,90
76,69
82,82
83,94
82,91
87,85
75,88
69,78
74,79
71,74
85,77
82,93
93,90
76,70
73,93
74,88
68,84
76,86
73,95
73,80
74,69
84,91
76,82
61,89
99,88
66,90
82,69
79,88
76,74
68,73
70,73
80,78
95,57
71,65
82,82
84,76
84,79
92,72
83,75
83,87
76,79
87,73
71,72
77,86
71,59
75,76
98,82
76,69
75,77
74,90
103,116
80,78
74,91
75,86
69,85
74,82
85,81
89,70
80,79
78,83
80,85
58,95
72,74
66,85
77,83
71,75
73,70
85,90
86,78
93,83
93,73
81,73
94,71
89,80
86,81
81,79
95,91
73,80
76,76
90,86
89,66
96,66
76,79
65,86
60,70
80,72
78,74
70,89
80,86
81,87
80,77
78,82
74,69
80,92
91,79
91,61
67,74
65,72
67,86
90,82
92,79
93,87
70,69
88,78
83,78
78,88
97,72
76,62
85,64
82,85
96,72
76,81
88,77
80,79
68,66
73,92
80,101
77,93
58,76
82,71
89,84
78,81
80,94
70,82
84,77
80,88
85,71
73,76
63,68
93,70
78,72
78,78
83,81
72,85
73,75
94,88
90,74
87,87
74,82
75,71
87,75
90,88
96,80
96,71
70,96
75,87
73,72
84,83
71,74
78,97
91,92
81,74
75,85
77,68
91,76
89,69
84,86
79,75
86,95
73,90
74,74
80,77
88,85
86,70
72,77
75,98
62,75
72,92
96,82
82,68
60,72
82,78
85,73
80,77
83,90
84,67
77,101
79,74
81,96
91,86
92,74
80,81
82,72
83,70
85,81
80,77
82,78
90,66
71,86
94,71
84,77
76,95
73,82
69,91
67,80
75,91
61,81
70,84
69,62
82,80
78,73
79,77
78,76
88,71
83,91
90,81
76,82
88,74
68,81
82,87
75,76
86,74
62,81
97,96
58,89
80,92
80,92
