"S1","S2"
79,85
85,85
86,64
82,76
96,78
74,82
84,70
81,80
85,90
79,111
61,60
83,76
81,84
100,73
70,75
70,85
97,71
68,87
78,79
70,82
104,82
82,57
76,72
80,84
80,82
80,70
84,78
87,74
71,85
89,71
82,74
94,88
69,73
86,87
76,87
79,73
61,92
75,98
96,87
72,79
88,67
70,82
79,96
92,78
76,85
73,75
81,85
97,81
75,96
73,99
76,74
86,96
70,60
76,69
97,87
76,91
102,97
71,77
79,72
73,93
72,80
79,89
74,80
84,87
82,77
63,62
85,81
85,87
87,88
73,84
78,90
81,70
60,73
90,92
62,79
82,81
77,80
73,81
85,77
94,76
68,81
80,75
88,81
95,85
79,102
69,90
81,79
85,72
99,74
95,80
99,75
100,74
78,71
94,80
75,74
76,80
78,89
85,62
75,81
74,72
84,72
63,76
78,73
69,88
83,74
69,90
76,79
81,89
90,87
90,67
67,72
91,72
77,78
97,78
83,60
84,81
73,99
68,77
88,80
65,60
90,81
71,98
82,67
91,84
70,67
76,78
82,95
75,79
75,78
86,75
73,65
67,91
88,100
87,86
84,75
69,91
78,83
81,65
94,83
87,81
83,94
83,83
72,76
77,88
72,66
81,75
79,75
79,96
87,95
75,91
76,70
87,86
72,85
86,72
66,59
90,74
79,89
95,78
79,79
90,97
85,89
88,87
74,88
89,79
68,78
82,81
81,101
75,73
86,75
89,77
98,86
107,98
90,72
76,77
81,81
80,82
78,72
69,85
84,70
72,66
81,86
81,87
78,93
84,82
73,72
85,84
86,91
75,85
86,82
85,107
78,91
73,86
85,83
66,73
81,81
87,80
74,72
100,76
72,69
69,79
82,77
84,68
71,70
73,77
94,72
71,94
79,86
83,94
78,83
87,69
93,79
80,84
77,100
63,58
86,71
79,84
85,85
96,85
83,86
88,115
76,65
85,79
74,84
89,87
81,96
62,95
93,81
75,76
72,78
83,71
94,80
83,78
74,80
90,69
82,88
79,78
73,75
78,81
83,73
73,80
70,83
85,81
81,84
73,80
86,90
88,73
78,77
90,89
74,77
97,78
87,78
85,81
79,80
83,76
69,81
74,76
89,80
79,72
84,72
73,84
98,75
73,66
58,99
69,83
82,71
89,75
57,89
91,76
86,80
65,76
87,72
96,73
77,80
80,77
80,85
77,81
83,85
80,75
103,83
74,81
74,77
74,90
75,81
96,85
55,77
82,83
70,93
82,83
77,62
74,74
82,81
77,86
72,78
86,79
73,79
70,74
84,73
66,88
101,91
82,74
69,75
86,80
99,75
79,87
89,81
67,75
91,79
70,76
80,67
75,83
89,87
70,84
80,86
78,81
81,78
79,88
72,74
78,87
79,80
72,82
81,76
59,74
84,98
86,74
84,90
78,70
82,93
77,70
93,75
77,76
78,79
81,74
84,82
82,88
91,80
88,76
78,102
83,73
88,93
66,101
90,82
58,83
80,77
77,87
73,72
79,87
76,79
83,52
82,83
74,83
91,76
79,96
98,72
63,80
81,74
75,77
85,90
93,76
89,71
83,84
80,72
67,74
68,85
86,73
92,92
102,75
77,82
76,82
82,86
70,85
80,76
71,90
73,78
75,92
71,91
74,87
68,85
74,72
90,72
79,86
76,70
79,75
68,97
95,80
97,93
78,67
85,78
70,94
84,80
76,89
76,89
91,76
79,82
85,87
74,83
66,78
78,82
84,69
75,78
62,85
74,76
81,86
73,80
72,71
78,83
92,58
75,85
87,71
75,100
77,76
89,73
82,88
86,91
91,81
67,87
77,89
89,78
69,87
72,75
87,72
83,81
76,72
93,84
93,85
85,85
78,66
80,64
80,66
93,74
80,90
78,75
87,79
91,85
117,84
78,92
92,67
65,72
89,80
92,72
69,75
68,106
78,95
59,70
84,71
75,77
71,87
67,88
78,102
83,68
75,76
88,92
88,80
86,92
75,81
93,73
95,90
84,69
70,82
84,91
77,89
83,90
81,80
76,71
96,92
86,83
72,81
89,81
82,74
83,74
79,87
77,78
80,87
75,88
73,68
79,75
66,79
90,80
81,94
91,68
60,90
87,73
74,68
98,75
77,70
89,76
60,91
84,81
69,83
73,93
74,85
66,83
73,87
69,80
75,101
92,69
78,82
77,85
87,82
87,77
82,83
89,64
71,70
74,64
56,70
81,71
77,73
94,78
79,77
80,76
75,83
91,100
88,82
91,86
62,80
85,66
74,90
70,82
71,87
83,70
76,70
74,79
78,67
97,62
79,82
77,76
90,83
85,61
79,70
74,78
79,94
66,71
85,87
91,87
87,78
76,90
87,79
71,80
73,64
71,103
73,82
73,73
71,70
67,78
96,63
77,70
95,92
62,69
86,65
77,80
78,92
84,71
70,88
68,79
75,86
80,81
94,85
87,86
64,64
77,72
82,83
77,82
83,88
80,98
89,93
77,99
78,87
84,81
78,65
94,91
86,83
95,76
88,89
76,81
80,85
90,79
95,68
71,81
89,71
85,73
69,67
79,83
69,76
103,83
86,88
78,109
95,77
80,76
83,73
82,81
78,69
94,83
96,85
89,71
