"S1","S2"
0,2
2,0
0,25
32,40
24,0
2,0
42,34
0,30
0,4
5,0
30,0
0,30
0,1
0,4
36,0
1,0
47,38
28,0
0,2
31,43
0,2
22,0
0,28
10,0
39,41
2,0
2,0
0,37
3,0
4,0
37,31
3,0
0,2
8,0
3,0
2,0
1,0
22,0
0,2
3,0
7,0
37,34
1,0
40,0
0,39
38,39
0,1
0,1
0,1
0,1
0,1
46,50
0,1
7,0
0,1
0,47
1,0
1,0
36,43
0,4
0,36
0,1
2,0
0,1
1,0
33,37
0,1
3,0
0,1
33,45
0,35
1,0
22,37
40,49
10,0
33,36
0,2
0,2
0,1
3,0
8,0
1,0
0,1
19,0
0,1
0,43
0,2
3,0
57,37
1,0
1,0
0,2
39,44
52,0
1,0
0,4
0,2
43,38
0,42
0,1
41,46
1,0
0,34
25,0
43,40
20,0
0,1
31,0
0,3
5,0
34,42
1,0
1,0
21,0
1,0
0,1
37,0
0,3
3,0
1,0
48,40
3,0
0,1
35,42
35,0
41,41
1,0
0,1
2,0
1,0
0,26
38,52
22,0
43,44
1,0
0,1
1,0
35,0
41,0
0,2
0,4
0,38
1,0
0,1
27,0
4,0
0,7
12,0
3,0
27,0
0,34
9,0
0,1
1,0
15,0
1,0
0,1
54,0
35,25
46,48
0,2
1,0
0,1
2,0
14,0
0,24
6,0
0,1
21,0
4,0
1,0
7,0
33,0
11,0
0,40
0,2
23,0
5,0
1,0
1,0
0,36
0,1
0,2
0,3
0,1
49,0
0,4
24,0
0,1
2,0
1,0
15,0
1,0
0,5
2,0
1,0
0,2
0,1
15,0
38,44
0,39
47,0
1,0
30,46
1,0
39,46
35,39
20,0
42,44
1,0
41,0
0,1
2,0
2,0
0,1
0,10
0,1
0,1
21,0
0,6
0,5
0,36
0,1
6,0
0,5
30,42
0,3
1,0
16,0
0,1
35,0
38,0
42,43
0,1
34,0
1,0
33,0
39,45
1,0
39,38
0,23
5,0
41,0
0,8
4,0
1,0
21,0
44,42
0,1
0,1
0,1
0,1
3,0
44,39
32,40
2,0
0,31
0,3
35,0
0,37
1,0
38,35
31,0
14,0
37,31
0,31
8,0
51,38
1,0
0,7
0,26
0,36
1,0
0,40
43,50
0,3
0,1
0,26
0,2
3,0
43,31
0,2
1,0
44,47
35,34
49,0
0,3
4,0
19,0
23,0
17,0
1,0
2,0
0,1
36,0
34,36
6,0
3,0
1,0
39,37
1,0
9,0
45,30
43,0
0,1
0,1
1,0
2,0
4,0
1,0
6,0
0,1
1,0
36,0
0,3
0,1
3,0
4,0
8,0
0,1
1,0
1,0
0,2
2,0
46,43
0,9
0,1
0,1
5,0
1,0
0,38
40,0
5,0
1,0
42,37
0,10
0,2
38,0
33,48
36,0
1,0
1,0
42,42
0,3
0,1
37,46
42,45
24,0
40,0
1,0
27,0
0,15
0,1
31,38
0,1
0,2
0,2
1,0
46,35
8,0
0,1
38,0
33,50
1,0
3,0
0,29
25,0
44,42
0,27
28,0
40,41
18,0
36,0
30,36
0,48
31,46
6,0
9,0
0,4
33,0
1,0
34,0
0,2
1,0
1,0
0,31
44,40
0,41
1,0
0,2
39,40
0,2
1,0
19,0
13,0
0,1
0,1
0,1
0,1
32,37
6,0
0,1
1,0
37,35
28,0
1,0
14,0
50,31
1,0
0,1
0,2
14,0
42,38
13,0
0,7
0,1
0,22
0,5
31,0
1,0
39,40
38,0
0,5
1,0
0,35
38,0
1,0
4,0
0,1
0,2
1,0
1,0
1,0
10,0
36,0
1,0
1,0
0,8
37,43
2,0
18,0
0,4
30,0
41,0
2,0
0,4
14,0
41,45
39,37
17,0
0,45
16,0
0,2
1,0
0,31
0,7
44,33
1,0
0,44
36,35
41,45
15,0
3,0
54,45
0,1
0,1
7,0
45,47
4,0
0,6
0,3
5,0
13,0
1,0
0,35
0,3
3,0
0,2
0,2
0,1
1,0
0,1
2,0
0,1
45,38
31,42
39,0
18,0
0,1
0,1
33,0
3,0
30,41
5,0
1,0
0,3
12,0
0,3
0,39
0,33
2,0
37,37
1,0
0,2
1,0
37,35
45,41
40,43
39,0
1,0
6,0
44,33
0,3
0,8
3,0
1,0
0,1
37,53
1,0
1,0
1,0
0,1
38,30
43,39
43,0
0,8
39,31
0,1
0,3
13,0
41,34
0,4
1,0
1,0
1,0
1,0
0,35
1,0
1,0
33,0
0,1
33,40
27,42
41,0
1,0
0,1
34,0
1,0
1,0
44,41
0,1
0,1
27,0
49,38
0,2
45,46
0,27
35,32
1,0
44,40
19,0
39,43
30,47
1,0
0,1
1,0
0,34
6,0
0,1
0,1
0,1
2,0
45,0
37,0
15,0
54,36
44,42
47,30
37,0
29,0
0,18
1,0
1,0
14,0
0,1
0,3
1,0
46,33
0,25
0,1
0,6
54,39
39,0
