"S1","S2"
0,47
0,23
0,45
0,14
9,0
0,35
8,0
0,11
31,0
0,49
0,35
0,11
6,0
0,22
0,18
0,7
35,0
0,4
0,6
35,0
0,30
26,0
5,0
4,0
7,0
0,14
31,0
5,0
4,0
6,0
41,0
8,0
4,35
0,50
0,20
0,5
12,0
0,26
0,15
0,44
0,13
0,17
0,7
28,0
43,0
15,0
0,26
4,0
0,11
5,41
0,10
12,0
0,43
0,50
47,0
0,39
30,0
7,0
0,20
5,0
0,36
16,0
0,39
10,0
5,0
6,32
0,36
0,24
4,0
15,0
0,38
0,52
0,7
0,42
5,46
5,50
0,12
0,10
10,0
0,8
30,0
0,15
0,34
0,47
0,6
0,29
5,0
0,33
0,30
8,0
37,0
5,38
0,20
0,47
0,29
0,42
6,0
0,4
0,36
0,36
0,34
0,45
0,5
0,10
0,31
8,0
0,46
0,7
0,40
32,0
7,0
5,0
0,22
6,45
5,0
0,16
5,0
0,28
0,35
10,0
0,28
0,5
0,5
0,7
32,0
0,43
25,0
0,35
0,36
0,6
0,36
7,0
6,0
23,0
17,0
0,19
29,0
0,45
5,0
0,13
0,4
0,17
13,0
0,4
0,45
10,0
5,0
23,0
0,8
0,7
9,0
0,29
0,12
0,49
0,51
0,50
40,0
0,43
0,16
0,41
0,15
0,40
0,31
0,6
0,14
0,6
0,43
0,8
50,0
6,0
11,0
6,0
6,0
0,15
0,40
5,0
0,40
0,29
0,10
23,0
0,7
10,0
6,0
7,0
0,6
0,9
0,37
0,12
0,41
0,10
0,36
0,43
33,0
0,4
0,23
0,39
27,0
0,40
27,0
0,21
0,8
0,5
0,17
0,6
0,36
5,0
0,9
0,6
0,48
0,32
0,8
0,3
0,15
0,23
0,38
0,38
5,0
0,29
0,17
0,35
5,0
0,16
0,18
0,41
0,25
4,0
0,47
0,9
0,39
4,0
36,0
0,20
0,38
0,11
0,21
35,0
6,0
0,25
9,0
0,60
0,20
0,41
0,41
0,35
0,40
0,39
0,8
0,20
47,34
10,0
7,0
0,42
0,38
0,31
