"S1","S2"
4,0
0,2
0,4
0,2
4,0
0,1
0,5
0,30
0,39
0,1
3,0
0,23
6,41
4,46
0,3
0,1
1,0
0,15
0,27
0,7
1,0
38,44
0,1
0,48
0,3
3,0
0,45
1,0
0,1
0,31
1,0
0,1
0,44
0,2
1,0
0,30
0,31
0,2
0,42
1,0
0,1
0,2
0,1
0,1
3,0
0,2
4,0
0,31
1,0
1,0
1,0
0,2
0,3
1,0
1,0
1,0
0,21
8,0
1,0
18,0
0,3
0,4
7,38
0,1
0,1
0,1
1,0
2,0
0,5
0,1
1,0
0,1
1,0
0,5
0,1
0,3
5,35
0,10
0,2
0,30
0,5
0,8
0,26
0,3
0,1
1,0
0,2
0,25
1,0
1,0
0,2
17,0
0,43
1,0
0,2
2,0
1,0
44,41
6,0
0,32
3,0
0,4
2,0
0,8
0,4
1,0
1,0
1,0
1,0
0,29
2,0
0,2
0,5
1,0
1,0
0,1
1,0
0,1
1,0
0,2
0,6
3,36
0,4
0,6
0,1
0,2
3,40
0,28
1,0
0,1
0,4
0,1
1,0
2,0
1,0
3,0
3,38
4,45
0,40
0,1
0,28
12,0
0,1
0,1
0,1
0,6
1,0
4,41
0,1
0,1
3,0
1,0
1,0
0,1
1,40
39,40
0,1
1,0
3,43
0,1
0,1
0,5
0,38
39,33
0,1
0,1
0,6
0,1
0,2
0,1
0,5
2,0
0,6
17,0
0,30
0,2
0,1
0,1
1,0
0,7
1,0
1,0
0,29
1,0
0,32
1,0
1,49
0,36
13,0
0,1
0,2
10,39
0,1
0,4
1,0
0,37
0,1
4,28
0,10
0,1
0,1
1,0
39,39
0,1
1,0
1,0
0,1
1,0
1,0
1,0
0,1
0,1
0,1
0,1
0,2
0,1
0,2
1,0
1,0
0,29
4,44
0,16
4,38
0,1
0,4
1,0
1,0
2,0
0,26
1,0
0,1
0,6
0,7
1,0
0,3
0,1
0,2
1,0
1,41
4,0
0,1
1,0
1,0
1,0
1,0
1,0
0,10
0,1
0,2
1,0
0,7
0,41
0,1
2,0
3,0
0,7
1,0
1,0
1,0
0,1
2,0
0,7
51,45
0,1
4,40
2,0
0,1
3,29
0,1
0,1
0,4
1,0
0,2
0,5
1,0
0,3
0,7
5,0
0,6
0,1
0,1
0,1
0,9
3,0
0,5
0,31
0,38
1,0
0,35
0,1
0,4
4,0
0,38
0,1
0,34
1,0
2,0
1,0
0,1
1,34
33,0
0,8
0,1
0,10
0,39
0,38
1,0
1,0
1,0
0,30
0,2
0,6
0,5
0,1
0,4
0,1
1,0
0,4
0,2
3,33
0,11
0,37
0,37
0,5
0,56
1,0
30,30
0,4
5,43
1,0
1,0
1,0
0,1
1,0
1,0
0,1
0,1
4,0
0,1
1,0
20,0
0,45
1,0
1,0
0,2
0,1
0,10
1,0
0,9
3,0
1,0
5,41
1,0
1,0
2,0
42,42
1,0
0,1
0,1
0,34
1,0
0,1
0,2
0,1
0,4
0,2
1,0
1,0
0,4
0,1
2,0
2,0
0,2
0,3
2,0
0,7
0,2
0,3
0,39
0,13
3,42
2,0
0,1
0,3
1,0
0,2
0,3
2,0
0,3
14,0
1,0
0,1
0,1
1,0
0,8
0,1
2,0
41,0
33,40
0,1
0,1
0,2
0,1
0,1
1,0
0,10
32,39
0,1
1,0
31,40
2,0
0,1
1,0
3,0
1,0
9,31
4,0
0,5
0,1
0,26
0,1
7,30
1,0
0,1
0,1
0,1
0,4
0,1
1,0
0,1
1,0
0,2
0,2
0,15
0,4
2,37
1,0
37,36
0,15
1,0
1,0
0,28
1,0
0,9
0,27
0,38
0,1
0,1
49,37
1,35
2,0
0,34
0,1
0,31
0,5
0,3
3,43
2,0
1,0
0,2
0,1
1,0
2,0
1,0
0,5
1,0
0,2
0,5
0,1
0,3
0,1
0,8
1,0
45,40
1,0
0,49
0,32
2,0
0,1
1,0
0,1
0,2
0,1
0,57
0,39
0,1
0,31
39,45
0,33
1,0
0,1
0,14
1,0
1,0
1,0
3,0
0,31
0,30
0,1
0,42
0,1
1,0
1,0
2,0
3,0
1,0
1,0
1,0
0,1
0,3
0,1
0,1
2,0
0,3
6,0
0,2
1,0
2,0
1,0
0,39
0,1
0,1
9,35
1,0
1,0
0,1
1,0
0,1
0,2
1,0
10,53
0,1
0,1
0,1
1,0
7,46
0,1
0,1
1,0
0,1
0,3
1,0
34,52
0,4
0,2
5,0
1,0
1,47
0,1
1,0
0,1
0,2
1,0
38,45
0,1
0,1
0,2
4,44
1,0
0,1
1,0
1,0
1,0
0,2
16,0
0,7
0,1
0,1
1,0
0,34
1,0
0,3
1,0
0,1
0,4
2,0
0,6
0,33
1,0
0,35
1,0
0,6
0,37
3,0
0,11
0,1
1,0
1,0
1,0
1,0
1,0
8,39
0,2
0,35
0,31
0,1
0,4
0,11
0,8
0,2
0,1
8,0
1,0
1,0
0,7
1,0
0,1
0,42
0,1
0,1
0,1
0,34
0,1
0,1
0,8
1,0
1,0
0,6
1,0
1,0
4,0
0,1
9,44
1,0
0,1
0,4
1,0
0,1
0,1
0,1
6,40
0,27
1,0
0,25
0,1
0,27
0,1
3,0
1,0
0,3
0,1
0,31
0,24
0,38
2,0
2,0
0,1
0,2
0,6
1,0
0,7
0,5
1,0
0,31
5,0
0,3
1,0
0,1
6,51
0,2
0,1
1,0
9,0
1,0
2,0
0,5
0,2
0,1
2,0
0,37
0,10
0,1
0,36
0,1
1,0
0,45
0,10
0,3
1,0
1,0
0,35
0,1
1,0
1,0
0,1
0,1
3,0
0,2
1,0
0,3
1,0
1,0
0,10
1,38
0,1
0,5
0,1
0,2
2,0
1,0
5,0
0,36
0,39
1,0
1,0
0,3
1,0
0,1
0,6
1,0
4,0
38,0
1,0
2,0
0,40
3,0
3,0
1,0
0,2
0,2
0,2
0,2
0,25
0,1
3,38
1,0
0,1
0,43
0,50
0,1
1,0
0,6
0,7
2,48
2,38
0,1
0,1
1,0
0,4
0,4
0,1
0,2
0,11
1,0
0,31
0,2
0,3
0,1
0,2
0,5
0,29
1,0
0,1
44,38
5,0
0,1
0,36
1,0
2,0
0,1
1,0
0,2
1,0
0,6
0,3
7,38
0,6
0,43
0,1
1,0
2,0
3,0
3,0
1,0
0,25
0,1
1,0
0,1
0,4
0,2
6,0
1,0
0,3
0,1
0,1
0,1
5,45
0,1
0,33
1,0
0,6
1,0
1,0
0,3
1,0
0,1
0,25
2,48
1,0
1,0
1,0
0,1
1,0
0,6
0,39
0,2
0,3
0,1
1,0
2,0
1,0
0,2
0,7
0,1
0,13
6,35
0,41
0,1
0,1
0,39
0,2
0,32
0,3
3,0
0,1
0,15
0,8
0,10
1,0
9,0
18,0
0,31
0,1
0,1
2,0
0,1
0,1
1,0
1,0
0,37
1,0
0,1
0,27
1,0
0,1
0,1
0,3
1,0
1,0
0,1
0,1
0,4
1,0
0,1
0,3
0,6
0,2
0,2
0,38
0,1
7,29
1,0
0,39
1,0
0,33
1,0
0,1
0,30
0,1
0,1
1,41
1,0
0,35
0,1
1,0
0,1
0,1
4,31
1,0
0,9
0,1
0,1
1,0
1,0
0,1
0,1
1,0
0,1
1,0
3,0
0,1
2,0
0,1
0,1
1,0
0,1
1,0
0,27
0,43
0,1
0,15
2,0
0,1
1,0
0,26
1,0
0,1
0,1
0,3
1,0
0,7
0,6
0,1
0,1
1,0
1,0
0,6
0,30
1,0
0,8
0,10
0,4
1,0
0,1
0,1
1,0
1,0
0,1
1,0
1,0
0,1
1,0
6,0
1,0
0,44
0,1
0,2
0,1
0,8
4,0
1,0
0,1
0,13
1,0
1,0
1,0
0,5
2,0
0,1
32,40
1,0
0,6
1,0
0,2
0,32
0,29
47,30
1,0
2,0
0,47
5,0
3,0
1,0
0,32
1,0
0,1
0,35
0,3
0,1
1,0
0,42
0,2
0,47
5,45
0,1
0,2
1,0
2,0
0,1
0,2
0,1
1,0
1,0
1,0
2,0
3,0
0,6
0,2
1,0
0,1
0,1
1,0
0,5
1,0
1,0
1,0
0,1
0,1
0,1
26,39
1,0
0,42
1,0
0,2
1,0
0,1
0,1
1,0
7,0
1,0
0,3
0,1
5,0
1,0
0,5
15,0
0,1
0,1
0,5
7,49
1,0
1,0
1,0
1,0
0,1
1,0
0,1
0,1
1,0
1,0
1,0
30,40
0,34
0,1
0,1
1,0
19,0
0,6
0,1
0,2
0,1
2,0
2,0
0,1
2,0
0,6
0,3
0,1
0,1
1,0
