"A.occurrences","B.occurrences","A.coverage","B.coverage"
0,2,83,68
1,0,59,73
2,0,89,81
0,1,88,62
1,0,89,82
3,0,89,79
9,0,78,87
3,0,85,88
1,0,91,85
0,1,106,85
0,1,82,86
0,14,83,75
0,1,75,85
1,0,82,94
2,0,70,69
1,0,81,98
0,1,86,81
0,1,73,81
49,37,86,82
0,7,99,62
3,0,87,76
46,56,85,102
0,1,81,96
0,1,92,90
5,0,93,71
0,11,92,88
1,0,94,87
0,2,96,75
2,0,86,80
1,0,84,95
1,0,98,80
4,0,75,102
2,0,95,85
3,0,81,91
1,0,80,80
2,0,86,78
9,18,75,71
0,2,89,73
1,0,75,72
0,5,85,82
0,4,80,76
0,1,91,83
1,0,88,62
1,0,92,69
1,0,72,63
4,2,82,78
42,42,94,84
8,0,99,82
3,0,80,88
0,1,85,97
46,49,92,89
1,0,79,78
1,0,85,84
1,0,99,95
0,12,90,86
1,0,92,94
1,0,83,82
0,1,77,92
0,1,74,91
3,0,98,81
45,46,85,87
0,29,83,87
0,16,92,72
2,0,77,73
30,55,58,104
1,0,76,76
1,0,87,90
1,0,78,77
0,1,83,79
2,0,74,92
36,48,80,100
2,0,85,89
1,0,67,76
1,0,84,83
1,0,77,66
1,0,69,98
0,3,79,90
7,0,83,92
1,0,75,85
3,1,96,69
1,0,65,99
3,0,81,72
1,0,79,72
1,0,78,97
2,0,83,86
48,43,92,88
0,1,66,76
0,4,70,86
1,0,82,75
1,0,83,85
47,37,90,87
1,0,83,90
0,1,90,74
0,1,88,90
1,0,80,74
0,3,90,97
6,0,99,91
1,0,105,96
0,3,78,88
22,4,78,79
1,0,62,82
1,0,79,86
1,0,76,90
1,0,91,88
1,0,91,72
1,0,91,74
1,0,72,71
1,0,85,92
1,0,95,78
0,1,83,87
1,0,71,83
2,0,84,77
38,38,73,74
0,1,86,110
2,16,76,70
1,0,74,66
0,2,91,79
28,4,88,93
0,1,86,85
9,0,80,70
0,1,78,88
1,0,98,78
48,50,92,103
3,0,90,89
2,0,77,70
2,0,89,78
2,0,59,78
51,40,88,80
55,44,89,94
49,49,94,87
