"S1","S2"
89,80
86,68
83,85
91,91
86,72
68,87
84,77
83,78
72,94
80,76
93,96
76,82
81,78
79,90
92,68
74,83
80,82
76,88
89,92
84,70
77,77
82,89
67,84
59,72
91,111
84,82
77,74
80,77
85,79
76,84
65,81
66,93
95,79
70,72
71,80
94,78
71,81
83,94
85,73
94,63
81,78
78,68
73,76
63,77
84,70
87,88
81,94
89,73
77,85
90,74
93,91
71,81
91,90
82,64
87,72
104,80
85,98
76,81
62,70
69,90
77,73
85,80
75,77
79,71
78,69
80,86
78,86
77,87
64,58
72,70
93,86
89,89
81,82
74,72
80,90
79,70
71,82
88,75
84,71
85,78
66,77
97,95
83,101
59,72
86,96
67,59
75,80
93,77
75,96
65,83
67,84
65,91
98,84
77,69
75,59
77,97
71,83
74,77
89,81
64,94
79,84
94,75
75,67
87,88
64,74
64,86
88,76
76,91
96,93
61,72
77,75
90,82
80,69
75,81
76,83
86,83
70,89
84,79
67,84
89,83
79,68
75,74
87,79
79,86
79,86
92,76
76,78
63,83
79,77
91,68
85,89
72,78
84,82
76,82
70,74
96,69
78,78
70,80
75,61
71,79
66,86
72,83
64,81
74,74
80,90
85,68
87,76
76,66
71,76
75,65
83,66
97,64
88,86
71,82
80,91
84,78
88,92
75,82
77,75
71,70
82,78
68,69
78,80
81,78
70,90
72,97
86,77
86,85
82,86
71,100
93,75
69,74
91,75
73,71
69,79
78,83
79,69
80,79
83,88
81,84
94,71
92,68
71,66
79,73
82,91
92,92
79,81
81,96
77,76
89,79
81,78
85,95
78,80
90,85
78,64
83,78
75,76
102,81
93,75
87,93
87,61
79,89
79,87
93,92
81,78
95,76
72,66
92,66
82,70
80,80
72,87
84,84
64,68
78,86
75,86
80,81
79,91
82,89
89,80
86,74
82,84
66,91
69,80
81,84
74,65
82,100
79,82
91,86
89,73
78,83
83,92
77,68
72,82
71,95
69,87
88,84
75,85
68,101
92,96
93,79
86,73
88,95
97,76
69,75
75,60
70,62
80,74
104,79
81,80
63,73
63,72
84,91
74,77
87,84
82,76
72,82
74,88
78,87
88,78
92,74
79,83
80,81
78,77
71,80
87,77
81,85
82,81
69,81
70,72
77,83
72,84
84,86
75,78
83,82
94,80
89,67
64,74
83,74
91,70
79,83
85,63
75,72
83,92
80,67
87,78
70,67
63,83
87,76
80,77
87,75
68,86
81,72
95,71
73,78
97,81
74,81
65,80
86,85
84,71
74,76
72,66
76,84
91,84
99,60
91,88
