"S1","S2"
0,2
1,0
2,0
0,1
1,0
3,0
9,0
3,0
1,0
0,1
0,1
0,14
0,1
1,0
2,0
1,0
0,1
0,1
49,37
0,7
3,0
46,56
0,1
0,1
5,0
0,11
1,0
0,2
2,0
1,0
1,0
4,0
2,0
3,0
1,0
2,0
9,18
0,2
1,0
0,5
0,4
0,1
1,0
1,0
1,0
4,2
42,42
8,0
3,0
0,1
46,49
1,0
1,0
1,0
0,12
1,0
1,0
0,1
0,1
3,0
45,46
0,29
0,16
2,0
30,55
1,0
1,0
1,0
0,1
2,0
36,48
2,0
1,0
1,0
1,0
1,0
0,3
7,0
1,0
3,1
1,0
3,0
1,0
1,0
2,0
48,43
0,1
0,4
1,0
1,0
47,37
1,0
0,1
0,1
1,0
0,3
6,0
1,0
0,3
22,4
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,1
1,0
2,0
38,38
0,1
2,16
1,0
0,2
28,4
0,1
9,0
0,1
1,0
48,50
3,0
2,0
2,0
2,0
51,40
55,44
49,49
5,0
1,0
7,0
0,1
0,1
1,0
0,2
0,1
1,0
0,1
3,2
0,21
1,0
0,6
0,6
0,1
42,56
0,1
40,44
3,0
1,0
1,2
5,0
2,0
0,1
43,46
2,0
2,0
1,0
1,0
0,1
1,0
49,38
0,4
2,0
5,0
0,1
1,0
6,0
0,2
0,3
0,2
1,0
1,0
35,43
16,36
2,1
7,0
1,0
1,0
1,0
1,0
2,0
1,0
0,1
1,0
0,1
0,2
0,15
44,33
38,42
1,0
12,29
12,36
3,0
1,0
0,1
0,1
0,2
0,1
0,1
1,1
2,0
0,1
0,1
0,2
1,0
1,0
0,2
1,0
3,0
2,0
0,1
0,2
2,0
1,0
1,0
1,0
0,1
2,0
1,0
1,3
0,1
3,0
1,0
0,2
0,1
16,35
6,0
35,43
0,1
4,0
2,0
1,0
2,0
1,0
2,0
43,36
1,0
0,1
0,1
0,16
1,0
1,0
11,41
1,0
1,0
1,0
45,32
1,0
0,16
1,0
4,0
0,1
33,51
0,20
0,1
1,0
17,2
1,0
0,1
0,3
0,2
0,1
1,0
1,0
2,0
2,0
0,1
0,1
2,0
3,0
1,0
1,0
1,0
3,0
3,0
4,0
4,0
1,0
1,0
0,1
0,2
1,0
0,5
0,1
1,0
0,2
9,0
20,3
1,0
1,0
37,35
1,0
46,37
1,0
0,13
0,6
1,0
1,0
31,32
1,0
1,0
1,0
0,2
0,1
1,0
0,1
38,35
1,0
36,34
1,0
2,0
2,0
9,0
0,1
0,1
48,48
2,3
1,0
10,0
0,1
5,0
7,0
0,23
3,0
0,1
1,0
3,27
0,3
1,0
0,15
3,0
0,1
0,2
1,0
5,4
47,43
2,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
11,0
2,0
2,0
1,0
1,0
15,36
1,0
2,0
0,1
0,27
1,0
2,0
32,44
0,1
0,1
2,0
0,1
0,2
0,1
0,1
1,0
1,0
2,0
1,0
0,1
1,0
4,0
4,0
0,1
3,0
0,1
1,0
0,1
1,0
0,1
1,0
2,0
0,1
0,1
2,0
3,0
0,2
0,1
0,19
1,0
0,1
2,0
1,0
1,0
0,1
0,10
1,0
0,1
0,1
1,0
4,0
3,0
3,0
0,1
1,0
1,0
5,0
0,1
1,0
3,0
1,0
0,1
2,0
1,0
0,1
1,0
0,1
0,1
1,0
7,1
0,1
0,2
1,0
1,0
1,0
0,1
0,2
0,1
1,0
1,0
0,1
7,0
1,0
1,0
1,0
0,1
0,2
1,0
1,0
0,2
3,0
1,0
0,4
0,1
0,1
0,1
41,39
2,0
3,0
1,0
2,6
48,46
0,3
1,0
1,0
1,0
1,0
42,42
0,2
1,0
1,0
44,39
1,0
0,2
0,2
0,1
0,1
1,2
0,1
0,1
4,0
2,0
0,7
1,0
6,0
2,0
0,1
8,51
1,0
1,0
41,42
1,0
0,2
1,0
8,1
6,0
0,1
0,13
0,1
2,0
0,2
2,0
1,0
0,1
1,0
0,1
3,0
0,1
0,4
0,2
0,7
3,0
1,0
0,1
4,0
0,1
0,5
0,1
0,1
2,0
1,0
51,40
1,0
1,0
0,2
4,0
42,49
1,0
0,1
0,1
35,37
3,0
40,49
44,44
1,0
0,29
43,44
1,0
1,0
1,0
1,0
0,1
14,32
1,0
1,0
1,0
2,0
0,1
0,4
4,0
2,0
3,0
0,5
1,0
4,0
4,0
0,1
1,0
2,0
10,50
33,37
0,1
1,0
0,11
0,2
1,0
43,38
1,0
0,2
1,0
0,11
1,0
0,1
0,1
0,2
1,0
0,1
0,1
1,0
0,5
0,2
1,0
41,41
0,1
45,40
1,0
1,0
1,0
0,7
1,0
4,0
0,1
0,1
2,0
0,6
0,1
5,0
2,0
0,1
0,9
5,0
2,0
1,0
0,1
1,0
36,34
2,0
1,0
35,42
0,1
1,0
2,0
41,37
0,1
1,0
0,1
1,0
0,1
2,0
1,0
0,1
49,50
0,1
3,0
5,0
0,11
0,2
1,0
0,1
0,1
0,1
1,0
0,1
1,0
5,0
0,1
1,0
44,51
2,0
3,0
14,4
3,0
0,1
3,0
1,0
1,0
16,45
40,37
1,0
3,0
0,1
7,0
0,1
5,0
0,2
1,0
1,0
0,1
3,0
1,0
40,34
0,3
56,44
0,1
34,44
1,0
1,0
3,0
2,0
0,13
1,0
48,44
2,0
43,45
1,0
37,36
3,0
0,1
0,14
2,0
1,0
1,0
3,2
2,0
1,0
1,0
1,0
3,0
0,2
0,7
1,0
2,0
0,4
1,0
39,45
0,1
0,1
8,33
5,0
4,0
43,51
1,0
1,0
4,27
0,3
0,2
1,0
1,0
3,0
2,0
2,0
1,0
0,2
1,0
1,0
0,28
1,0
1,0
8,0
0,1
1,0
1,0
0,1
0,1
0,13
1,0
1,0
1,0
1,0
0,25
1,0
0,1
1,0
0,2
1,0
4,0
0,32
0,2
2,0
1,0
0,5
1,0
1,0
15,38
1,0
1,0
0,1
0,20
1,32
1,0
2,0
1,0
2,0
1,0
0,2
4,0
1,0
1,0
0,4
0,1
4,0
0,1
1,0
0,1
1,0
0,2
2,0
1,0
0,2
2,0
1,0
3,0
2,0
0,1
7,0
2,0
36,42
1,0
1,0
0,18
1,1
1,0
2,0
46,42
1,0
0,1
1,0
2,0
1,0
43,54
0,1
2,0
0,1
1,0
2,0
2,0
1,0
1,0
32,41
0,2
2,0
13,36
1,0
39,33
9,0
2,0
2,0
1,0
0,1
1,0
2,0
0,1
0,2
1,0
0,1
0,1
44,38
2,0
0,25
1,0
0,1
0,1
43,34
1,0
3,0
0,1
33,52
0,23
1,0
0,1
1,0
4,0
0,1
1,0
2,0
1,0
34,40
0,1
1,0
2,0
0,1
1,0
1,0
0,1
1,0
2,0
0,1
1,0
5,15
37,31
1,0
24,5
12,40
5,0
1,0
1,0
0,3
20,43
1,0
1,0
3,2
1,0
0,1
2,0
28,44
1,0
0,1
0,1
1,0
1,0
1,0
0,2
1,0
1,0
36,39
0,1
1,0
3,0
6,0
45,31
39,39
1,0
0,1
0,1
0,29
1,0
0,2
3,0
0,2
2,0
0,1
0,26
0,1
3,2
0,1
3,0
0,6
4,0
0,30
1,0
1,0
1,1
1,0
0,1
1,0
44,38
0,1
0,28
2,0
1,0
12,25
0,1
3,0
0,8
3,0
1,0
4,0
1,0
0,1
0,2
0,5
1,0
0,5
0,1
1,0
1,0
1,0
0,1
40,35
2,0
6,0
1,0
0,2
2,0
0,1
1,0
2,0
1,0
3,0
4,0
1,0
0,3
1,0
1,0
5,5
37,49
5,41
45,38
1,0
2,0
5,0
1,0
0,1
3,0
3,0
3,0
45,49
1,0
3,0
0,1
1,0
1,0
1,0
0,1
31,40
1,0
1,0
1,0
0,1
1,0
0,1
1,0
1,0
41,44
14,1
23,1
18,42
1,0
0,2
1,0
3,0
1,0
1,0
0,1
2,0
0,18
58,45
1,0
0,1
1,0
21,37
0,1
1,0
0,1
0,1
1,0
50,46
41,40
3,0
3,0
1,0
0,13
5,0
44,48
1,0
0,1
2,0
2,0
2,0
0,2
3,0
2,0
0,1
1,0
0,1
0,1
0,1
1,0
1,0
1,0
1,0
2,0
0,2
1,0
1,0
0,26
0,3
0,1
3,0
36,47
2,0
0,1
1,0
1,0
1,0
1,0
1,0
0,1
3,0
38,43
1,0
0,2
0,1
0,19
1,0
2,0
2,0
52,45
4,0
0,1
3,3
2,0
0,1
1,0
3,0
2,0
0,1
1,0
0,1
0,2
1,0
1,0
0,1
1,0
0,1
2,0
1,0
1,0
0,1
1,0
4,0
1,0
0,16
40,41
1,0
2,0
1,0
0,1
0,8
1,0
1,0
1,0
1,0
44,30
1,0
1,0
0,1
0,1
40,43
2,0
3,2
0,1
1,0
1,0
8,0
2,0
2,0
1,0
2,0
3,0
10,0
6,0
53,33
0,3
0,1
0,1
2,0
1,0
1,0
1,0
1,0
1,0
0,2
0,1
2,0
1,1
1,0
2,0
0,2
1,0
3,0
1,0
0,1
0,2
0,1
0,31
2,0
2,0
0,5
1,0
17,2
5,0
1,0
1,0
2,0
0,1
1,0
1,0
0,1
37,46
3,0
0,1
0,26
1,0
0,3
1,0
0,26
40,41
2,0
52,50
0,3
8,0
2,0
1,0
0,2
0,1
0,1
0,1
0,1
1,0
36,45
1,0
0,1
1,0
1,0
48,44
0,1
39,36
0,30
0,1
1,0
0,3
2,0
1,0
0,1
0,1
1,0
9,33
1,0
0,2
1,0
1,0
0,1
4,0
0,1
3,0
1,0
1,0
0,2
1,0
0,17
0,1
0,1
5,0
0,6
15,36
40,42
0,2
10,1
1,0
2,0
50,34
1,0
0,1
1,0
0,11
0,1
