"S1","S2"
1,0
0,1
0,1
0,1
1,0
1,0
1,0
2,0
2,0
1,0
1,0
1,0
2,0
1,0
0,1
0,1
0,1
0,1
0,1
1,0
0,1
0,15
1,0
0,4
0,1
2,0
0,17
0,2
0,1
0,1
1,0
0,1
1,0
1,0
0,1
0,1
0,20
6,0
1,0
1,0
0,1
0,5
3,0
1,0
0,1
0,1
0,1
3,0
1,0
2,0
1,0
0,1
2,0
2,0
0,2
1,0
0,3
1,0
1,0
0,1
0,2
0,2
0,1
0,1
5,0
0,1
0,9
0,2
0,1
1,0
0,1
0,1
1,0
1,0
1,0
0,1
0,1
0,1
12,0
1,0
0,1
0,6
0,3
0,1
0,1
0,1
0,5
14,0
2,0
3,0
0,3
37,56
1,0
10,0
0,1
0,1
0,22
0,4
0,1
0,1
2,0
0,1
1,0
0,2
14,0
1,0
0,5
0,14
46,40
0,1
0,1
1,0
0,13
1,0
0,1
0,1
0,4
1,0
1,0
1,0
1,0
0,16
3,0
0,1
3,0
1,0
1,0
0,1
0,2
0,11
1,0
0,1
0,1
1,0
0,1
0,1
0,3
0,1
0,1
0,1
1,0
8,0
0,1
0,1
0,1
0,1
1,0
23,0
0,1
2,0
0,1
0,1
0,1
0,7
1,0
1,0
0,1
0,1
16,0
41,41
0,1
2,0
1,0
4,0
0,2
0,1
0,1
0,1
3,0
0,1
0,6
0,1
5,0
0,1
1,0
0,1
1,0
4,0
0,1
0,1
0,2
1,0
0,1
0,17
0,18
1,0
0,1
1,0
44,43
3,0
1,0
0,1
1,0
0,1
0,1
2,0
1,0
1,0
20,0
2,0
0,1
0,1
0,3
0,1
1,0
1,0
2,25
1,0
0,13
1,0
0,17
1,0
0,2
17,0
0,1
0,2
1,0
6,0
0,2
0,1
1,0
0,1
0,2
0,1
1,0
0,2
0,1
0,1
2,0
0,2
0,1
0,1
5,0
1,0
0,9
0,1
0,7
0,1
0,1
1,0
1,0
0,2
0,3
0,2
1,0
1,0
1,0
0,1
