"S1","S2"
83,90
81,77
79,88
77,82
61,79
96,91
74,86
65,63
87,83
91,70
82,69
63,74
76,72
75,87
76,77
64,77
82,86
75,91
87,86
83,83
89,81
80,91
81,71
86,77
60,66
72,78
79,96
85,67
86,73
84,74
70,76
77,94
83,93
74,89
82,77
95,76
75,77
77,62
88,89
95,76
85,75
81,87
78,87
86,81
96,76
71,81
85,69
69,84
87,79
73,71
96,70
75,82
80,89
69,83
81,71
87,74
77,66
76,87
91,77
80,86
78,85
78,71
82,83
77,86
84,83
79,79
74,90
73,76
77,73
75,65
73,72
92,75
81,79
87,84
89,83
89,85
89,64
81,62
94,85
88,76
89,77
89,77
78,70
76,74
86,89
86,100
63,97
72,86
72,86
63,69
77,76
82,84
74,89
78,82
72,79
84,87
70,85
77,74
78,74
87,79
78,72
72,93
84,80
69,90
67,86
76,73
76,90
76,68
70,83
85,79
91,71
84,76
84,78
69,69
75,75
76,80
89,88
82,86
76,75
70,86
65,84
71,74
96,97
88,85
73,93
89,102
61,83
89,77
79,94
77,82
78,84
67,89
87,64
90,60
76,73
68,79
59,74
76,69
86,75
75,80
75,70
92,74
87,86
90,82
79,86
84,88
90,64
73,90
84,88
78,90
92,85
72,86
93,80
74,82
74,82
84,77
90,81
74,97
88,73
82,81
82,94
86,76
78,78
68,81
79,77
69,82
86,83
84,96
77,77
86,74
71,87
66,78
76,90
79,75
74,82
77,80
75,83
77,69
71,79
84,81
66,70
71,77
70,89
90,73
68,65
69,84
69,80
86,98
94,76
92,83
86,79
75,74
55,74
82,96
80,76
79,83
73,81
71,68
82,84
82,73
85,77
77,82
78,76
71,76
85,82
82,79
67,75
66,88
84,90
83,76
73,88
76,78
91,78
97,89
89,76
83,83
86,69
76,73
80,84
85,72
87,81
70,90
88,78
73,64
77,74
68,78
75,75
83,68
79,76
77,70
73,89
86,79
73,80
79,76
70,75
86,74
70,84
75,74
86,81
78,79
83,78
66,78
88,77
82,77
68,96
87,68
84,80
73,86
73,89
78,69
99,69
80,78
66,71
83,82
76,77
81,80
82,77
75,71
77,77
50,82
84,80
83,81
92,77
79,68
84,85
82,101
80,70
85,70
75,76
84,73
66,91
69,98
76,88
83,93
85,87
78,69
94,91
88,67
90,98
61,69
100,88
77,84
78,89
98,98
86,72
86,82
78,75
71,67
72,84
90,76
89,58
89,95
78,75
81,82
67,72
85,81
81,99
80,60
81,69
96,86
80,80
83,71
92,78
93,61
95,77
