"S1","S2"
83,68
59,73
89,81
88,62
89,82
89,79
78,87
85,88
91,85
106,85
82,86
83,75
75,85
82,94
70,69
81,98
86,81
73,81
86,82
99,62
87,76
85,102
81,96
92,90
93,71
92,88
94,87
96,75
86,80
84,95
98,80
75,102
95,85
81,91
80,80
86,78
75,71
89,73
75,72
85,82
80,76
91,83
88,62
92,69
72,63
82,78
94,84
99,82
80,88
85,97
92,89
79,78
85,84
99,95
90,86
92,94
83,82
77,92
74,91
98,81
85,87
83,87
92,72
77,73
58,104
76,76
87,90
78,77
83,79
74,92
80,100
85,89
67,76
84,83
77,66
69,98
79,90
83,92
75,85
96,69
65,99
81,72
79,72
78,97
83,86
92,88
66,76
70,86
82,75
83,85
90,87
83,90
90,74
88,90
80,74
90,97
99,91
105,96
78,88
78,79
62,82
79,86
76,90
91,88
91,72
91,74
72,71
85,92
95,78
83,87
71,83
84,77
73,74
86,110
76,70
74,66
91,79
88,93
86,85
80,70
78,88
98,78
92,103
90,89
77,70
89,78
59,78
88,80
89,94
94,87
61,78
80,83
91,75
75,94
99,76
81,85
79,85
85,84
71,84
88,102
71,100
89,88
82,66
81,67
87,97
87,82
82,89
94,70
91,78
85,68
80,71
83,73
87,68
67,93
87,79
80,91
87,93
80,80
79,85
90,102
86,98
91,80
87,74
85,89
80,92
64,80
82,87
70,87
92,96
86,77
82,72
94,87
87,81
90,89
75,81
84,74
77,70
97,78
64,87
82,98
83,66
91,82
87,76
87,89
87,75
80,90
76,97
75,102
68,90
85,75
71,79
92,88
78,60
70,86
84,87
80,84
72,77
92,87
83,78
82,77
92,76
83,75
99,76
88,84
88,78
68,89
105,98
82,98
76,98
82,74
91,81
73,87
89,72
72,80
74,72
82,78
75,71
90,90
86,84
105,90
72,78
74,68
68,83
80,76
77,99
81,96
72,97
78,78
101,86
64,72
84,79
90,76
78,81
76,89
73,77
77,104
96,96
82,72
85,93
79,91
77,72
77,84
109,81
80,85
70,91
78,91
89,65
96,90
79,76
89,70
92,94
75,74
75,75
95,86
74,90
76,77
79,82
88,90
76,79
87,81
81,91
71,78
88,93
81,107
70,75
76,100
90,73
95,86
83,79
86,79
85,84
89,78
84,87
65,84
81,66
84,79
84,89
82,85
93,84
92,84
89,69
72,80
76,63
80,84
66,92
99,89
75,77
82,71
91,82
85,93
96,91
77,78
77,82
81,97
80,71
84,91
83,80
100,76
94,90
88,86
76,80
71,66
83,99
93,88
98,99
92,81
90,97
95,79
85,80
76,92
78,77
83,91
68,90
85,93
84,75
79,89
81,88
90,92
90,73
76,90
91,90
79,82
85,93
80,93
84,82
94,80
71,87
88,96
77,88
72,93
87,91
66,71
76,79
66,75
101,73
95,97
81,88
89,85
85,97
75,79
82,85
83,101
75,79
92,92
86,81
74,71
97,79
105,78
89,91
81,78
86,88
81,89
